"","V1"
"ENSG00000000419",0.732290676795723
"ENSG00000000457",0.565547820549054
"ENSG00000000460",0.931675625734619
"ENSG00000000938",0.0510717311949232
"ENSG00000001036",0.826920079384578
"ENSG00000001084",0.0461247850430813
"ENSG00000001167",0.162578909321955
"ENSG00000001460",0.973183889499106
"ENSG00000001461",0.061435589774229
"ENSG00000001497",0.190731449682619
"ENSG00000001561",0.245575209322715
"ENSG00000001629",0.863782944066542
"ENSG00000001630",0.125363880538397
"ENSG00000001631",0.518863361283029
"ENSG00000002016",0.553696514775386
"ENSG00000002330",0.258879778894148
"ENSG00000002549",0.332334798647709
"ENSG00000002586",0.73505337102562
"ENSG00000002587",0.370193964510492
"ENSG00000002745",0.112784725180407
"ENSG00000002822",0.593212152239426
"ENSG00000002834",0.0208795147478299
"ENSG00000002919",0.965784516310021
"ENSG00000003056",0.439034204948964
"ENSG00000003249",0.52411748033278
"ENSG00000003393",0.0516391441039223
"ENSG00000003400",0.528113422588488
"ENSG00000003402",0.894550605597314
"ENSG00000003436",0.0206664190299559
"ENSG00000003509",0.661385511837673
"ENSG00000003756",0.767840782650124
"ENSG00000003987",0.276870702929598
"ENSG00000004059",0.521289115966678
"ENSG00000004139",0.472681377099822
"ENSG00000004142",0.249012909569681
"ENSG00000004399",0.334892752689161
"ENSG00000004455",0.171468355473421
"ENSG00000004478",0.538591304954616
"ENSG00000004487",0.849492615588328
"ENSG00000004534",0.485415331185046
"ENSG00000004660",0.577357579463651
"ENSG00000004700",0.067817382973926
"ENSG00000004766",0.629821634286189
"ENSG00000004777",0.630785204294386
"ENSG00000004779",0.248627974725656
"ENSG00000004799",0.768520452750238
"ENSG00000004864",0.0185526810212931
"ENSG00000004866",0.110723515534481
"ENSG00000004897",0.318711677754905
"ENSG00000004961",0.301485555679025
"ENSG00000004975",0.500434927195709
"ENSG00000005007",0.549216862878031
"ENSG00000005020",0.141823159888523
"ENSG00000005022",0.00997684723628396
"ENSG00000005059",0.938183334803514
"ENSG00000005075",0.284224473532189
"ENSG00000005100",0.644642522281878
"ENSG00000005156",0.469466335223396
"ENSG00000005175",0.336162839774958
"ENSG00000005187",0.368931101056415
"ENSG00000005194",0.743067457390989
"ENSG00000005206",0.288380192653348
"ENSG00000005238",0.0276203141582524
"ENSG00000005302",0.123337471335418
"ENSG00000005339",0.412666001832019
"ENSG00000005379",0.456990880583795
"ENSG00000005436",0.950987134716416
"ENSG00000005448",0.32802114191721
"ENSG00000005469",0.0899542357581677
"ENSG00000005471",0.423996422303825
"ENSG00000005483",0.0467780991826301
"ENSG00000005486",0.656307723612427
"ENSG00000005700",0.223580413426998
"ENSG00000005801",0.783025608341168
"ENSG00000005810",0.502096535825694
"ENSG00000005812",0.0204216042364506
"ENSG00000005844",0.251423843526848
"ENSG00000005882",0.0332105951467888
"ENSG00000005884",0.147135132452354
"ENSG00000005889",0.323983312502901
"ENSG00000005893",0.533342460506671
"ENSG00000006007",0.940636802904272
"ENSG00000006015",0.242303986286823
"ENSG00000006016",0.270859282904043
"ENSG00000006025",0.922873738268063
"ENSG00000006062",0.243710663655307
"ENSG00000006125",0.223009662914706
"ENSG00000006194",0.296942403099677
"ENSG00000006282",0.0228281099617164
"ENSG00000006432",0.988993724504476
"ENSG00000006451",0.730355799571443
"ENSG00000006459",0.188048406713458
"ENSG00000006530",0.347804602982699
"ENSG00000006534",0.251033777267491
"ENSG00000006555",0.00765569325646685
"ENSG00000006576",0.94475682227064
"ENSG00000006607",0.00593483515725584
"ENSG00000006625",0.705395072695477
"ENSG00000006634",0.634656349787993
"ENSG00000006638",0.504565003882059
"ENSG00000006652",0.0242724283678758
"ENSG00000006695",0.147217216946194
"ENSG00000006712",0.552560966118769
"ENSG00000006715",0.54968269278558
"ENSG00000006740",0.022990928298652
"ENSG00000006744",0.317540276013316
"ENSG00000006747",0.551010297357389
"ENSG00000006756",0.456960963639203
"ENSG00000006757",0.983651527411067
"ENSG00000006831",0.194401779611708
"ENSG00000006837",0.260245321411053
"ENSG00000007047",0.293040177087281
"ENSG00000007080",0.952861979474359
"ENSG00000007129",0.0565668153181715
"ENSG00000007168",0.623961445783763
"ENSG00000007202",0.60078363464445
"ENSG00000007255",0.42646907241826
"ENSG00000007312",0.998026338934423
"ENSG00000007314",0.631677647715069
"ENSG00000007341",0.27287794832666
"ENSG00000007372",0.614295075833213
